Time;opctyngrppub01 : Actives;anomalie
27/03/2022 20:00;73.9;0
27/03/2022 22:00;119;0
28/03/2022 00:00;1281;0
28/03/2022 02:00;5496;0
28/03/2022 04:00;4676;0
28/03/2022 06:00;144;0
28/03/2022 08:00;379;0
28/03/2022 10:00;668;0
28/03/2022 12:00;501;0
28/03/2022 14:00;466;0
28/03/2022 16:00;481;0
28/03/2022 18:00;333;0
28/03/2022 20:00;209;0
28/03/2022 22:00;163;0
29/03/2022 00:00;1338;0
29/03/2022 02:00;5627;0
29/03/2022 04:00;4802;0
29/03/2022 06:00;189;0
29/03/2022 08:00;374;0
29/03/2022 10:00;655;0
29/03/2022 12:00;514;0
29/03/2022 14:00;482;0
29/03/2022 16:00;499;0
29/03/2022 18:00;336;0
29/03/2022 20:00;207;0
29/03/2022 22:00;175;0
30/03/2022 00:00;1341;0
30/03/2022 02:00;5613;0
30/03/2022 04:00;4782;0
30/03/2022 06:00;193;0
30/03/2022 08:00;370;0
30/03/2022 10:00;612;0
30/03/2022 12:00;473;0
30/03/2022 14:00;427;0
30/03/2022 16:00;452;0
30/03/2022 18:00;296;0
30/03/2022 20:00;170;0
30/03/2022 22:00;133;0
31/03/2022 00:00;1293;0
31/03/2022 02:00;5582;0
31/03/2022 04:00;4768;0
31/03/2022 06:00;137;0
31/03/2022 08:00;337;0
31/03/2022 10:00;616;0
31/03/2022 12:00;477;0
31/03/2022 14:00;424;0
31/03/2022 16:00;460;0
31/03/2022 18:00;322;0
31/03/2022 20:00;227;0
31/03/2022 22:00;188;0
01/04/2022 00:00;1347;0
01/04/2022 02:00;5637;0
01/04/2022 04:00;4835;0
01/04/2022 06:00;191;0
01/04/2022 08:00;388;0
01/04/2022 10:00;662;0
01/04/2022 12:00;548;0
01/04/2022 14:00;460;0
01/04/2022 16:00;483;0
01/04/2022 18:00;355;0
01/04/2022 20:00;247;0
01/04/2022 22:00;177;0
02/04/2022 00:00;1340;0
02/04/2022 02:00;5643;0
02/04/2022 04:00;4833;0
02/04/2022 06:00;169;0
02/04/2022 08:00;213;0
02/04/2022 10:00;279;0
02/04/2022 12:00;278;0
02/04/2022 14:00;229;0
02/04/2022 16:00;235;0
02/04/2022 18:00;231;0
02/04/2022 20:00;207;0
02/04/2022 22:00;171;0
03/04/2022 00:00;1334;0
03/04/2022 02:00;5644;0
03/04/2022 04:00;4786;0
03/04/2022 06:00;163;0
03/04/2022 08:00;173;0
03/04/2022 10:00;193;0
03/04/2022 12:00;204;0
03/04/2022 14:00;187;0
03/04/2022 16:00;191;0
03/04/2022 18:00;198;0
03/04/2022 20:00;183;0
03/04/2022 22:00;158;0
04/04/2022 00:00;1331;0
04/04/2022 02:00;5596;0
04/04/2022 04:00;4792;0
04/04/2022 06:00;184;0
04/04/2022 08:00;427;0
04/04/2022 10:00;694;0
04/04/2022 12:00;544;0
04/04/2022 14:00;483;0
04/04/2022 16:00;499;0
04/04/2022 18:00;330;0
04/04/2022 20:00;214;0
04/04/2022 22:00;173;0
05/04/2022 00:00;1345;0
05/04/2022 02:00;5640;0
05/04/2022 04:00;4824;0
05/04/2022 06:00;194;0
05/04/2022 08:00;402;0
05/04/2022 10:00;681;0
05/04/2022 12:00;502;0
05/04/2022 14:00;470;0
05/04/2022 16:00;522;0
05/04/2022 18:00;346;0
05/04/2022 20:00;274;0
05/04/2022 22:00;182;0
06/04/2022 00:00;1347;0
06/04/2022 02:00;5676;0
06/04/2022 04:00;4845;0
06/04/2022 06:00;193;0
06/04/2022 08:00;382;0
06/04/2022 10:00;619;0
06/04/2022 12:00;493;0
06/04/2022 14:00;447;0
06/04/2022 16:00;477;0
06/04/2022 18:00;345;0
06/04/2022 20:00;225;0
06/04/2022 22:00;175;0
07/04/2022 00:00;1351;0
07/04/2022 02:00;5665;0
07/04/2022 04:00;4877;0
07/04/2022 06:00;197;0
07/04/2022 08:00;384;0
07/04/2022 10:00;617;0
07/04/2022 12:00;512;0
07/04/2022 14:00;486;0
07/04/2022 16:00;509;0
07/04/2022 18:00;358;0
07/04/2022 20:00;222;0
07/04/2022 22:00;176;0
08/04/2022 00:00;1357;0
08/04/2022 02:00;5696;0
08/04/2022 04:00;4874;0
08/04/2022 06:00;185;0
08/04/2022 08:00;380;0
08/04/2022 10:00;650;0
08/04/2022 12:00;554;0
08/04/2022 14:00;479;0
08/04/2022 16:00;533;0
08/04/2022 18:00;415;0
08/04/2022 20:00;289;0
08/04/2022 22:00;205;0
09/04/2022 00:00;1374;0
09/04/2022 02:00;5728;0
