"Time","opctyngrppub01 : Actives"
2022-03-27 20:00:00,73.9
2022-03-27 22:00:00,119
2022-03-28 00:00:00,1281
2022-03-28 02:00:00,5496
2022-03-28 04:00:00,4676
2022-03-28 06:00:00,144
2022-03-28 08:00:00,379
2022-03-28 10:00:00,668
2022-03-28 12:00:00,501
2022-03-28 14:00:00,466
2022-03-28 16:00:00,481
2022-03-28 18:00:00,333
2022-03-28 20:00:00,209
2022-03-28 22:00:00,163
2022-03-29 00:00:00,1338
2022-03-29 02:00:00,5627
2022-03-29 04:00:00,4802
2022-03-29 06:00:00,189
2022-03-29 08:00:00,374
2022-03-29 10:00:00,655
2022-03-29 12:00:00,514
2022-03-29 14:00:00,482
2022-03-29 16:00:00,499
2022-03-29 18:00:00,336
2022-03-29 20:00:00,207
2022-03-29 22:00:00,175
2022-03-30 00:00:00,1341
2022-03-30 02:00:00,5613
2022-03-30 04:00:00,4782
2022-03-30 06:00:00,193
2022-03-30 08:00:00,370
2022-03-30 10:00:00,612
2022-03-30 12:00:00,473
2022-03-30 14:00:00,427
2022-03-30 16:00:00,452
2022-03-30 18:00:00,296
2022-03-30 20:00:00,170
2022-03-30 22:00:00,133
2022-03-31 00:00:00,1293
2022-03-31 02:00:00,5582
2022-03-31 04:00:00,4768
2022-03-31 06:00:00,137
2022-03-31 08:00:00,337
2022-03-31 10:00:00,616
2022-03-31 12:00:00,477
2022-03-31 14:00:00,424
2022-03-31 16:00:00,460
2022-03-31 18:00:00,322
2022-03-31 20:00:00,227
2022-03-31 22:00:00,188
2022-04-01 00:00:00,1347
2022-04-01 02:00:00,5637
2022-04-01 04:00:00,4835
2022-04-01 06:00:00,191
2022-04-01 08:00:00,388
2022-04-01 10:00:00,662
2022-04-01 12:00:00,548
2022-04-01 14:00:00,460
2022-04-01 16:00:00,483
2022-04-01 18:00:00,355
2022-04-01 20:00:00,247
2022-04-01 22:00:00,177
2022-04-02 00:00:00,1340
2022-04-02 02:00:00,5643
2022-04-02 04:00:00,4833
2022-04-02 06:00:00,169
2022-04-02 08:00:00,213
2022-04-02 10:00:00,279
2022-04-02 12:00:00,278
2022-04-02 14:00:00,229
2022-04-02 16:00:00,235
2022-04-02 18:00:00,231
2022-04-02 20:00:00,207
2022-04-02 22:00:00,171
2022-04-03 00:00:00,1334
